"","country","year","searches"
"1","Argentina","2002",NA
"2","Argentina","2003",NA
"3","Argentina","2004",1.53
"4","Argentina","2005",1.03
"5","Argentina","2006",1.01
"6","Argentina","2007",5.57
"7","Argentina","2008",1.46
"8","Argentina","2009",16.74
"9","Argentina","2010",6.62
"10","Argentina","2011",3.19
"11","Argentina","2012",2.08
"12","Argentina","2013",4.26
"13","Argentina","2014",2.77
"14","Argentina","2015",2.12
"15","Bolivia","2002",0.1
"16","Bolivia","2003",3.94
"17","Bolivia","2004",1.47
"18","Bolivia","2005",1.49
"19","Bolivia","2006",1.07
"20","Bolivia","2007",2.61
"21","Bolivia","2008",1.49
"22","Bolivia","2009",10.36
"23","Bolivia","2010",1.33
"24","Bolivia","2011",2.17
"25","Bolivia","2012",1.51
"26","Bolivia","2013",0.56
"27","Bolivia","2014",0.91
"28","Bolivia","2015",0.43
"29","Brazil","2002",0.07
"30","Brazil","2003",4.34
"31","Brazil","2004",2.38
"32","Brazil","2005",2.69
"33","Brazil","2006",4.65
"34","Brazil","2007",7.94
"35","Brazil","2008",9.65
"36","Brazil","2009",8.21
"37","Brazil","2010",12.52
"38","Brazil","2011",8.81
"39","Brazil","2012",5.53
"40","Brazil","2013",8.31
"41","Brazil","2014",6.82
"42","Brazil","2015",11.7
"43","India","2002",0.06
"44","India","2003",8.86
"45","India","2004",3.74
"46","India","2005",5.67
"47","India","2006",8.79
"48","India","2007",4.59
"49","India","2008",4.45
"50","India","2009",4.55
"51","India","2010",9.39
"52","India","2011",3.16
"53","India","2012",8.4
"54","India","2013",8.41
"55","India","2014",5.02
"56","India","2015",1.78
"57","Indonesia","2002",0.1
"58","Indonesia","2003",3.15
"59","Indonesia","2004",8.36
"60","Indonesia","2005",9.18
"61","Indonesia","2006",10.81
"62","Indonesia","2007",14.97
"63","Indonesia","2008",10.7
"64","Indonesia","2009",9.23
"65","Indonesia","2010",7.24
"66","Indonesia","2011",5.17
"67","Indonesia","2012",5.01
"68","Indonesia","2013",4.96
"69","Indonesia","2014",4.8
"70","Indonesia","2015",3.45
"71","Mexico","2002",NA
"72","Mexico","2003",NA
"73","Mexico","2004",3.83
"74","Mexico","2005",4.7
"75","Mexico","2006",4.84
"76","Mexico","2007",7.67
"77","Mexico","2008",5.95
"78","Mexico","2009",14.23
"79","Mexico","2010",7.85
"80","Mexico","2011",4.62
"81","Mexico","2012",8.12
"82","Mexico","2013",11.88
"83","Mexico","2014",10.06
"84","Mexico","2015",4.83
"85","Philippines","2002",NA
"86","Philippines","2003",NA
"87","Philippines","2004",4.57
"88","Philippines","2005",6.49
"89","Philippines","2006",7.35
"90","Philippines","2007",7
"91","Philippines","2008",5.61
"92","Philippines","2009",7.08
"93","Philippines","2010",14.46
"94","Philippines","2011",9.91
"95","Philippines","2012",8.81
"96","Philippines","2013",6.93
"97","Philippines","2014",4.1
"98","Philippines","2015",2.24
"99","Singapore","2002",0.06
"100","Singapore","2003",6.85
"101","Singapore","2004",8.37
"102","Singapore","2005",14.22
"103","Singapore","2006",6.65
"104","Singapore","2007",9.58
"105","Singapore","2008",6.25
"106","Singapore","2009",5.44
"107","Singapore","2010",5.54
"108","Singapore","2011",5.64
"109","Singapore","2012",6.08
"110","Singapore","2013",9.88
"111","Singapore","2014",6.66
"112","Singapore","2015",3.52
"113","Thailand","2002",NA
"114","Thailand","2003",NA
"115","Thailand","2004",NA
"116","Thailand","2005",NA
"117","Thailand","2006",NA
"118","Thailand","2007",NA
"119","Thailand","2008",NA
"120","Thailand","2009",6.4
"121","Thailand","2010",10.38
"122","Thailand","2011",7.07
"123","Thailand","2012",9.03
"124","Thailand","2013",17.25
"125","Thailand","2014",8.35
"126","Thailand","2015",6.36
"127","Venezuela","2002",NA
"128","Venezuela","2003",NA
"129","Venezuela","2004",9.99
"130","Venezuela","2005",10.31
"131","Venezuela","2006",9.65
"132","Venezuela","2007",15.26
"133","Venezuela","2008",15.65
"134","Venezuela","2009",15.78
"135","Venezuela","2010",27.85
"136","Venezuela","2011",11.97
"137","Venezuela","2012",11.63
"138","Venezuela","2013",15.75
"139","Venezuela","2014",22.81
"140","Venezuela","2015",5.27
